domain,type,original_reference
*reglasti.com,malware,www.malwaregroup.com/ipaddresses/details/195.88.144.81
*rokobon.com,exploit,safebrowsing.clients.google.com
*sunqtr.com,malware,malc0de.com
*zeroclan.net,attackpage,safebrowsing.clients.google.com
*mainnetsoll.com,malware,malc0de.com
*smartenergymodel.com,malicious,blog.unmaskparasites.com
*fancycake.net,trojan,mdl.paretologic.com/index.php
*natebennettfleming.com,attackpage,www.google.com/safebrowsing
*neglite.com,attackpage,www.google.com/safebrowsing
*verfer.com,attackpage,safebrowsing.clients.google.com
*etnkorea.com,attackpage,safebrowsing.clients.google.com/safebrowsing
*mjw.or.kr,attackpage,safebrowsing.clients.google.com
*pennystock-picks.info,attackpage,safebrowsing.clients.google.com
*mnogobab.com,attackpage,safebrowsing.google.com
*upperdarby26.com,redirect,safebrowsing.google.com
*n85853.cn,attackpage,safebrowsing.google.com
*weqeweqqq2012.com,malware,sucuri.net/sucuri-blacklist
*amusecity.com,gumblar,malwaredomainlist.com
*vasfagah.ru,redirect,labs.sucuri.net
*cescon.ca,attackpage,safebrowsing.clients.google.com
*lifenetusa.com,bhexploitkit,riskanalytics.com
*wiedemann.com,attackpage,safebrowsing.clients.google.com
*blacksheepatlanta.com,bhexploitkit,riskanalytics.com
*dssct.net,attackpage,safebrowsing.clients.google.com/safebrowsing/
*metzgerconsulting.com,attackpage,safebrowsing.clients.google.com/safebrowsing/
*misegundocuadro.com,attackpage,safebrowsing.clients.google.com/safebrowsing/
*1stand2ndmortgage.com,malicious,app.webinspector.com/
*ceocms.com,malicious,safebrowsing.clients.google.com
*homecraftfurniture.com,attackpage,safebrowsing.google.com
*moby-aa.ru,malicious,www.webroot.com/
*admisoft.com,malicious,quttera.com/lists/malicious
*gxqyyq.com,malicious,app.webinspector.com/recent_detections
*masjlr.com,malicious,app.webinspector.com/recent_detections
*liarsbar.karoo.net,malicious,quttera.com/
*liberated.org,malicious,app.webinspector.com/
*huatongchuye.com,malvertising,www.webroot.com/
*centerpieces-with-feathers-for-weddi.blogspot.com,malware,www.malwaredomains.com
*anamol.net,attackpage,safebrowsing.clients.google.com
*98csc.net,malicious,app.webinspector.com/
*805678.com,malicious,www.mwsl.org.cn/
*amo122.com,malicious,app.webinspector.com/
*android-guard.com,fakesupport,malvertising.stopmalwares.com/
*bbnwl.cn,attackpage,www.google.com/safebrowsing
*co3corp.com,malicious,app.webinspector.com/
*downflvplayer.com,malvertising,www.malwaredomains.com
*feenode.net,malicious,app.webinspector.com/
*gdhrjn.com,malicious,app.webinspector.com/
*ipwhrtmla.epac.to,malicious,labs.sucuri.net
*iranbar.org,attackpage,safebrowsing.google.com/safebrowsing
*mobuna.com,attackpage,www.google.com/safebrowsing
*haphuongfoundation.net,maliciousjs,evuln.com
*aileronx.com,malvertising,www.malwaredomains.com
*downloadscanning.com,malvertising,www.malwaredomains.com
*gddingtian.com.cn,attackpage,www.google.com/safebrowsing
*annengdl.com,malicious,www.mwsl.org.cn/
*downloadadvisory.com,malvertising,www.malwaredomains.com
*downloadally.com,malvertising,www.malwaredomains.com
*downloadcypher.com,malvertising,www.malwaredomains.com
*downloadedsoftware.com,malvertising,www.malwaredomains.com
*downloadespe.com,malvertising,www.malwaredomains.com
*downloadfused.com,malvertising,www.malwaredomains.com
*downloadoc.com,malvertising,www.malwaredomains.com
*downloadprivate.com,malvertising,www.malwaredomains.com
*helpkaden.org,attackpage,safebrowsing.google.com
*hostiraj.info,attackpage,www.google.com/safebrowsing
*mobile-safety.org,rogue,blogs.mcafee.com/
*114oldest.com,attackpage,safebrowsing.clients.google.com
*augami.net,attackpage,google.com/safebrowsing
*liagand.cn,malicious,freepcsecurity.co.uk
*torvaldscallthat.info,maliciousjs,sucuri.net
*evilstalin.https443.net,malicious,blog.dynamoo.com
*ngr61ail.rr.nu,maliciousjs,labs.sucuri.net
*cnrdn.com,attackpage,safebrowsing.google.com
*4chan-tube.on.nimp.org,attackpage,safebrowsing.google.com
*aaa520.izlinix.com,attackpage,safebrowsing.google.com
*alcoenterprises.com,attackpage,safebrowsing.google.com
*amskrupajal.org,attackpage,safebrowsing.google.com
*beckerseguros.com.br,malspam,blog.dynamoo.com/
*bleachkon.net,malicious,www.mwsl.org.cn/
*canadabook.ca,malicious,safebrowsing.clients.google.com
*computerquestions.on.nimp.org,attackpage,safebrowsing.google.com
*cooper.mylftv.com,attackpage,safebrowsing.google.com
*dns-vip.net,attackpage,safebrowsing.google.com
*gdby.com.cn,attackpage,safebrowsing.google.com
*graficasseryal.com,attackpage,safebrowsing.google.com
*itspecialist.ro,malspam,blog.dynamoo.com/
*jfdyw.com,attackpage,safebrowsing.google.com
*kafebuhara.ru,attackpage,safebrowsing.google.com
*kumykoz.com,malicious,safebrowsing.clients.google.com
*livinggood.se,attackpage,safebrowsing.google.com
*mannesoth.com,attackpage,safebrowsing.google.com
*metameets.eu,attackpage,safebrowsing.google.com
*cugq.com,attackpage,safebrowsing.google.com
*0735sh.com,malicious,www.mwsl.org.cn/
*101.boquan.net,malicious,www.mwsl.org.cn/
*www.2seo8.com,malicious,www.mwsl.org.cn/
